Video Name,Average Engagement Score,Max Engagement,Min Engagement,Engagement Duration (frames),Engagement Percentage (%),Classification,Model,Average Score,Max Score,Min Score,Engaged Frames,Engaged %
Screen Recording 2026-04-12 at 5.05.02 PM,0.794,0.9,0.08,347.0,87.4,Engaged,,,,,,
Screen Recording 2026-04-12 at 5.08.01 PM,0.118,0.98,0.0,13.0,7.8,Not Engaged,,,,,,
Screen Recording 2026-04-12 at 5.09.12 PM,0.913,0.96,0.08,382.0,94.8,Engaged,,,,,,
Screen Recording 2026-04-12 at 5.12.09 PM,0.723,0.91,0.05,319.0,79.0,Engaged,,,,,,
Screen Recording 2026-04-12 at 5.15.53 PM,0.889,0.9,0.09,159.0,98.8,Engaged,,,,,,
Screen Recording 2026-04-12 at 5.15.53 PM,0.889,0.9,0.09,159.0,98.8,Engaged,,,,,,
Screen Recording 2026-04-12 at 5.20.06 PM,0.766,0.9,0.0,134.0,84.3,Engaged,,,,,,
Screen Recording 2026-04-14 at 5.50.23 PM,,,,,,Engaged,Model 1 (Original),0.584,0.9,0.0,156.0,61.9
Screen Recording 2026-04-14 at 5.50.23 PM,,,,,,Engaged,Model 1,0.584,0.900,0.0,156.0,61.9
Screen Recording 2026-04-14 at 5.50.23 PM,,,,,,Engaged,Model 2,0.690,0.801,0.0,248.0,98.4
,,,,,,Engaged vs Engaged,Comparison,0.106 (diff),63.5% (agree),,,
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 1,0.533,0.900,0.08,92.0,55.8
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2,0.681,0.795,0.66,165.0,100.0
,,,,,,Engaged vs Engaged,Comparison,0.148 (diff),55.8% (agree),,,
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2 (New),0.681,0.795,0.66,165.0,100.0
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 1,0.533,0.900,0.08,92.0,55.8
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2,0.681,0.795,0.66,165.0,100.0
,,,,,,Engaged vs Engaged,Comparison,0.148 (diff),55.8% (agree),,,
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 1 (Original),0.533,0.900,0.08,92.0,55.8
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2 (New),0.681,0.795,0.66,165.0,100.0
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 1,0.533,0.900,0.08,92.0,55.8
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2,0.681,0.795,0.66,165.0,100.0
,,,,,,Engaged vs Engaged,Comparison,0.148 (diff),55.8% (agree),,,
Screen Recording 2026-04-14 at 5.58.01 PM,,,,,,Engaged,Model 2 (New),0.681,0.795,0.66,165.0,100.0
Screen Recording 2026-04-14 at 6.02.03 PM,,,,,,Engaged,Model 2 (New),0.638,0.803,0.0,347.0,92.3
Screen Recording 2026-04-14 at 6.02.03 PM,,,,,,Engaged,Model 1 (Original),0.535,0.900,0.0,212.0,56.4
Screen Recording 2026-04-14 at 6.02.03 PM,,,,,,Engaged,Model 1,0.535,0.900,0.0,212.0,56.4
Screen Recording 2026-04-14 at 6.02.03 PM,,,,,,Engaged,Model 2,0.638,0.803,0.0,347.0,92.3
,,,,,,Engaged vs Engaged,Comparison,0.103 (diff),64.1% (agree),,,
Screen Recording 2026-04-14 at 6.05.46 PM,,,,,,Not Engaged,Model 1 (Original),0.287,0.980,0.0,45.0,24.5
Screen Recording 2026-04-14 at 6.05.46 PM,,,,,,Engaged,Model 2 (New),0.600,0.798,0.0,154.0,83.7
Screen Recording 2026-04-14 at 6.05.46 PM,,,,,,Not Engaged,Model 1,0.287,0.980,0.0,45.0,24.5
Screen Recording 2026-04-14 at 6.05.46 PM,,,,,,Engaged,Model 2,0.600,0.798,0.0,154.0,83.7
,,,,,,Not Engaged vs Engaged,Comparison,0.313 (diff),40.8% (agree),,,
Screen Recording 2026-04-14 at 6.09.24 PM,,,,,,Engaged,Model 1 (Original),0.894,0.900,0.0,310.0,99.4
Screen Recording 2026-04-14 at 6.09.24 PM,,,,,,Engaged,Model 2 (New),0.700,0.757,0.0,311.0,99.7
Screen Recording 2026-04-14 at 6.09.24 PM,,,,,,Engaged,Model 1,0.894,0.900,0.0,310.0,99.4
Screen Recording 2026-04-14 at 6.09.24 PM,,,,,,Engaged,Model 2,0.700,0.757,0.0,311.0,99.7
,,,,,,Engaged vs Engaged,Comparison,0.194 (diff),99.7% (agree),,,
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 1 (Original),0.841,0.960,0.08,485.0,86.6
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 2 (New),0.726,0.939,0.661,560.0,100.0
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.809,0.705,560.0,100.0
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 1,0.841,0.960,0.08,485.0,86.6
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 2,0.726,0.939,0.661,560.0,100.0
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 3,0.755,0.809,0.705,560.0,100.0
Screen Recording 2026-04-15 at 10.52.54 PM,,,,,,Engaged,Model 1 (Original),0.841,0.960,0.08,485.0,86.6
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Not Engaged,Model 1 (Original),0.379,0.900,0.08,71.0,36.6
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 2 (New),0.730,0.807,0.665,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.814,0.708,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Not Engaged,Model 1,0.379,0.900,0.08,71.0,36.6
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 2,0.730,0.807,0.665,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3,0.755,0.814,0.708,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.814,0.708,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.814,0.708,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.814,0.708,194.0,100.0
Screen Recording 2026-04-15 at 11.05.05 PM,,,,,,Engaged,Model 3 (Ensemble),0.755,0.814,0.708,194.0,100.0
